,date,game_number,age,team,location,opponent,result,rush_attempts,rush_yards,yards_per_rush,rush_td,targets,receptions,rec_yards,yards_per_rec,rec_td,catch_percentage,yards_per_target,pass_completions,pass_attempts,completion_percentage,pass_yards,pass_td,interceptions,qb_rating,times_sacked,yards_lost_to_sacks,yards_per_pass_attempt,adjusted_yards_per_pass_attempt,pass_2_point_conversions,total_td,total_points,year,fantasy_points
0,2016-10-02,4,24.227,PIT,home,KAN,W 43-14,18,144,8.0,0,6,5,34,6.8,0,83.3,5.67,0,0,,0,0,0,,0,0,,,,0,0,2016,17.8
1,2016-10-09,5,24.234,PIT,home,NYJ,W 31-13,20,66,3.3,0,11,9,88,9.78,0,81.8,8.0,0,0,,0,0,0,,0,0,,,,0,0,2016,15.400000000000002
2,2016-10-16,6,24.241,PIT,away,MIA,L 15-30,10,53,5.3,0,7,6,55,9.17,0,85.7,7.86,0,0,,0,0,0,,0,0,,,1.0,0,2,2016,10.8
3,2016-10-23,7,24.248,PIT,home,NWE,L 16-27,21,81,3.86,0,13,10,68,6.8,0,76.9,5.23,0,0,,0,0,0,,0,0,,,,0,0,2016,14.9
4,2016-11-06,8,24.262,PIT,away,BAL,L 14-21,14,32,2.29,0,9,6,38,6.33,0,66.7,4.22,0,0,,0,0,0,,0,0,,,,0,0,2016,7.0
5,2016-11-13,9,24.269,PIT,home,DAL,L 30-35,17,57,3.35,1,10,9,77,8.56,1,90.0,7.7,0,0,,0,0,0,,0,0,,,,2,12,2016,25.4
6,2016-11-20,10,24.276,PIT,away,CLE,W 24-9,28,146,5.21,1,9,8,55,6.88,0,88.9,6.11,0,0,,0,0,0,,0,0,,,,1,6,2016,26.1
7,2016-11-24,11,24.28,PIT,away,IND,W 28-7,23,120,5.22,1,5,4,22,5.5,0,80.0,4.4,0,0,,0,0,0,,0,0,,,,1,6,2016,20.2
8,2016-12-04,12,24.29,PIT,home,NYG,W 24-14,29,118,4.07,0,7,6,64,10.67,0,85.7,9.14,0,1,0.0,0,0,0,39.6,0,0,0.0,0.0,,0,0,2016,18.200000000000003
9,2016-12-11,13,24.297,PIT,away,BUF,W 27-20,38,236,6.21,3,5,4,62,15.5,0,80.0,12.4,0,0,,0,0,0,,0,0,,,,3,18,2016,47.800000000000004
10,2016-12-18,14,24.304,PIT,away,CIN,W 24-20,23,93,4.04,0,8,5,38,7.6,0,62.5,4.75,0,0,,0,0,0,,0,0,,,,0,0,2016,13.100000000000001
11,2016-12-25,15,24.311,PIT,home,BAL,W 31-27,20,122,6.1,1,4,3,15,5.0,1,75.0,3.75,0,0,,0,0,0,,0,0,,,,2,12,2016,25.700000000000003
